gene,fold change,p value
ENSG00000271366,0.1,0.927395408
ENSG00000271367,0.5,0.588881471
ENSG00000271380,-0.8,0.305430298
ENSG00000271382,1.5,0.049351253
NBPF19,0.5,0.099120342
C1orf21-DT,0.5,0.451142089
ENSG00000271392,-1,0.107345692
ENSG00000271396,-0.4,0.428978832
ENSG00000271401,0.5,0.566874991
PRR13P3,0.2,0.865993848
ENSG00000271420,1,0.200733852
NBPF10,0.2,0.73666848
ENSG00000271427,0.8,0.210575638
MPHOSPH6P1,-0.4,0.636847483
ENSG00000271440,-0.6,0.492856779
ENSG00000271443,-1.3,0.114555612
MMP28,0.8,0.107988444
ENSG00000271452,0.3,0.648530076
CKAP2LP1,0.8,0.267131917
UNC5C-AS1,0.2,0.716847429
ENSG00000271500,-0.1,0.88364323
CCL5,0.4,0.367065189
ENSG00000271511,0.9,0.296077864
ENSG00000271533,-0.1,0.726368375
ENSG00000271537,-0.9,0.258904683
BNIP3P11,0.7,0.447730627
ENSG00000271551,0.4,0.344282938
ENSG00000271553,1.3,0.017154226
ENSG00000271554,-0.2,0.841280523
YPEL5P2,-0.7,0.407695906
PRKACB-DT,0.8,0.023675539
ENSG00000271580,1,0.218538412
LIX1L,1.3,0.001405891
MILR1,1.5,0.030709626
ENSG00000271607,0.5,0.608686058
ATP2B1-AS1,-1,3.87E-06
ENSG00000271631,1,0.218673801
PDCD6IP-DT,0.4,0.427083736
IRF2-DT,0.6,0.102847901
ENSG00000271653,0.6,0.190446272
ENSG00000271659,1.3,0.018480685
ENSG00000271660,1.6,0.048883413
ENSG00000271662,-0.9,0.264205379
ENSG00000271664,0.1,0.91300312
MTND5P10,-0.7,0.39367285
ENSG00000271698,-0.6,0.340305794
ENSG00000271709,2.4,0.001621737
ENSG00000271714,-0.3,0.508718988
ENSG00000271715,-0.5,0.618498848
ENSG00000271717,-0.1,0.865693946
ENSG00000271730,1,0.133596927
ENSG00000271732,1.5,0.067602066
ENSG00000271734,1.3,0.045054421
ENSG00000271737,-0.3,0.598738587
ENSG00000271742,1.1,0.195863694
ENSG00000271743,0.5,0.123209464
ENSG00000271751,0.6,0.430744207
ENSG00000271752,0.4,0.654483921
ENSG00000271755,-0.5,0.108001178
ENSG00000271761,-0.1,0.899640801
ENSG00000271778,-0.5,0.38816384
ENSG00000271780,0.3,0.427820264
ENSG00000271781,0.4,0.399874285
TP53RK-DT,-0.2,0.832699387
ENSG00000271788,1.1,0.059436869
ENSG00000271789,-0.3,0.652584724
ENSG00000271795,-0.4,0.327044653
ENSG00000271797,0.1,0.923048835
ENSG00000271806,-0.1,0.884016026
ENSG00000271811,2.5,3.74E-08
ENSG00000271815,-1.1,0.01059651
BMS1P4,0.4,0.617334621
U3,0.5,0.55560292
RNU6-94P,0.2,0.79885671
SMIM32,-0.7,0.412459912
ENSG00000271825,2.3,3.72E-04
PLS3-AS1,1.6,0.004045533
ENSG00000271828,1.3,0.066343405
ENSG00000271830,0.1,0.880433583
ENSG00000271833,0.5,0.221335474
ENSG00000271843,-0.7,0.150258452
SYNPO2L-AS1,0.8,0.349881236
MAN2A1-DT,-0.9,0.023740766
ENSG00000271851,0.6,0.209661074
ENSG00000271855,0.6,0.137294933
LINC01215,-1,0.234594928
ENSG00000271857,-0.4,0.523610993
CYB561D2,-0.2,0.739020917
ENSG00000271860,0.7,0.197983196
ENSG00000271862,0.3,0.663276326
ENSG00000271868,0.9,0.12701132
DCTN6-DT,0.3,0.430408817
ENSG00000271870,-0.1,0.875385406
ENSG00000271871,0.4,0.490123162
ENSG00000271882,-0.2,0.795572363
JARID2-DT,-0.8,0.324193369
ENSG00000271889,-0.2,0.850610877
ENSG00000271892,-1,0.05387547
ENSG00000271895,-0.1,0.670895337
ENSG00000271904,0.5,0.528416526
TAGAP-AS1,-0.8,0.001531368
ENSG00000271916,0.7,0.445467506
ENSG00000271918,0.4,0.268590656
ENSG00000271926,-0.6,0.537619477
PNRC1-DT,-0.2,0.819763077
ENSG00000271933,-0.5,0.425741066
ENSG00000271936,0.7,0.180365741
ENSG00000271943,-0.1,0.924262258
ENSG00000271947,-1,0.113393302
LINC01954,0.4,0.489593701
ENSG00000271959,2.8,1.29E-09
ENSG00000271964,-0.5,0.278852096
ARFGEF1-DT,1.2,0.07541846
ENSG00000271967,-0.5,0.386004139
ENSG00000271971,1.2,0.009926406
ENSG00000271973,-1.2,0.056985812
ENSG00000271976,0.1,0.771587023
ENSG00000271978,-0.1,0.847569599
ENSG00000271980,0.9,0.155387086
ENSG00000271983,0.1,0.889202907
ENSG00000271992,0.5,0.393543759
ENSG00000271993,1.6,0.005907728
ENSG00000271996,0.7,0.415301453
ENSG00000272002,-0.1,0.942963587
ENSG00000272008,0.9,0.033417005
ENSG00000272009,0.5,0.317414831
ENSG00000272017,0.5,0.584902572
ENSG00000272021,0.2,0.808613868
ENSG00000272024,-1.1,0.12933544
ENSG00000272030,0.5,0.584784603
ANKRD34A,-1.4,1.24E-04
ENSG00000272033,-0.5,0.552111656
SNORD14A,-0.8,0.242583539
ENSG00000272037,0.9,0.074451978
ENSG00000272040,-0.2,0.645163505
ENSG00000272043,0.5,0.601042854
GTF2H5,-0.1,0.828276457
ENSG00000272049,1.3,0.04083594
ENSG00000272054,0.3,0.627322202
ENSG00000272056,-0.3,0.443981352
ANKH-DT,0.6,0.478874069
BCAN-AS1,0.1,0.888365957
ENSG00000272070,0.5,0.171306991
ENSG00000272071,-0.7,0.356866954
ENSG00000272072,0.4,0.654854804
ENSG00000272076,0.5,0.58590059
ENSG00000272077,0.1,0.877067613
ENSG00000272078,-0.7,0.280238742
ENSG00000272079,0.1,0.869425238
ENSG00000272084,-1.1,0.008166102
GOLPH3-DT,0.2,0.579082461
ENSG00000272087,-0.8,0.160466451
TMEM14B-DT,-0.3,0.465256594
ENSG00000272100,-0.4,0.614435789
ENSG00000272102,-1.9,1.28E-05
ENSG00000272103,0.2,0.782777896
ENSG00000272106,-0.3,0.097812079
ENSG00000272108,-0.4,0.500717394
ENSG00000272112,0.5,0.428799749
ENSG00000272115,1,0.208019511
ENSG00000272121,-1.1,0.057766153
ENSG00000272123,-0.2,0.767872197
ENSG00000272128,0.2,0.798472633
ENSG00000272129,0.2,0.75949773
ENSG00000272130,1.6,0.02846334
ENSG00000272137,1.2,0.097066586
LINC01607,-0.3,0.666127918
ENSG00000272140,0.2,0.82863124
LYRM4-AS1,1,0.150051504
FGF14-AS2,1.6,1.96E-05
ENSG00000272144,1.2,0.063862967
NFYC-AS1,0.2,0.634233666
ARF4-AS1,1,0.18008253
ENSG00000272148,-0.2,0.563205346
NBPF25P,1.1,0.012909088
ENSG00000272153,0.2,0.801891603
ENSG00000272155,1,0.107603355
ENSG00000272156,0.3,0.696198601
ENSG00000272158,1.7,0.006103401
ENSG00000272159,0.3,0.636745443
ENSG00000272161,0.1,0.885826881
ENSG00000272163,-1.5,1.49E-06
KLC4-AS1,-0.4,0.650006168
ENSG00000272172,-0.6,0.378980878
ENSG00000272173,-1,0.030640601
ENSG00000272181,0.1,0.929074717
ENSG00000272182,1.2,0.030630272
VPS11-DT,0.5,0.455522443
ENSG00000272189,0.5,0.140559605
ENSG00000272195,0.9,0.199987503
POU2F1-DT,1.4,0.032387015
ENSG00000272211,1,0.228629794
ENSG00000272217,0.9,0.172477421
ENSG00000272219,0.2,0.809254895
ENSG00000272221,0.9,0.17191737
ENSG00000272223,0.4,0.627808298
ENSG00000272226,-1.1,0.172005247
ENSG00000272235,1.7,0.011320327
ENSG00000272239,-0.9,0.310966384
ENSG00000272240,0.7,0.375990628
ENSG00000272247,1,0.130493632
ENSG00000272255,0.6,0.313614262
ENSG00000272256,-0.5,0.561076144
LINC01749,0.4,0.614436349
ENSG00000272263,-0.4,0.489795091
ENSG00000272265,0.5,0.583806551
ENSG00000272267,-0.3,0.719768092
NUP153-AS1,-0.5,0.520432778
IER3-AS1,-0.5,0.393466307
LINC00551,-0.9,0.220947919
ENSG00000272275,0.3,0.746673785
ENSG00000272277,-0.3,0.639054181
ENSG00000272279,0.7,0.310926612
ILRUN-AS1,1.4,1.02E-09
ENSG00000272293,0.7,0.183129575
ENSG00000272305,-1.2,0.027251475
ENSG00000272308,1,0.079983917
ENSG00000272316,1.1,0.005500711
ENSG00000272320,0.3,0.402356765
ENSG00000272321,-1.8,1.23E-05
TTC23L-AS1,1.5,2.10E-04
NUDT3,-0.2,0.74171753
ENSG00000272330,1.4,0.07022269
KMT2B,0.1,0.800073571
ENSG00000272335,-0.2,0.658714607
ENSG00000272338,1.5,0.002943342
ENSG00000272341,-0.9,5.94E-04
ENSG00000272343,0.3,0.616480989
ENSG00000272345,0.3,0.558008295
ENSG00000272347,-1.6,0.035826956
ENSG00000272354,-1.3,0.051575626
ENSG00000272356,0.2,0.644503123
ENSG00000272360,1.2,0.11090497
ENSG00000272361,0.2,0.766137961
ENSG00000272368,0.8,0.100913503
ENSG00000272369,2.1,8.92E-04
ENSG00000272370,-0.9,0.097748905
ENSG00000272372,0.3,0.641816898
ENSG00000272374,0.6,0.098597099
ENSG00000272375,-0.6,0.074261531
LINC02664,-0.7,0.300468487
ENSG00000272382,1.1,0.171064225
ENSG00000272384,0.7,0.379260216
ENSG00000272386,-0.5,0.57405789
POM121C,-0.4,0.008200915
CD24,-0.5,0.296241364
ENSG00000272402,-0.2,0.770001785
ENSG00000272405,0.9,0.021295771
ENSG00000272411,1,0.223410418
ENSG00000272416,0.5,0.36669208
ENSG00000272417,1.1,0.133974325
LINC01145,-0.7,0.199063403
ENSG00000272420,-0.1,0.896800623
ENSG00000272425,0.9,0.059525398
ENSG00000272426,-0.3,0.786848513
ENSG00000272428,-0.1,0.869567924
ZNF454-DT,0.2,0.776081678
ENSG00000272432,0.3,0.713452366
ENSG00000272434,0.5,0.564893973
ENSG00000272440,1.8,0.013986257
ENSG00000272442,-0.4,0.616967449
ENSG00000272444,0.6,0.057417895
ENSG00000272447,0.8,0.129823968
ENSG00000272449,0.1,0.732719401
MRPL20-DT,0.8,0.014255355
ENSG00000272457,0.7,0.419609299
FAM193B-DT,-0.5,0.183437671
ENSG00000272462,-0.9,0.002183387
ENSG00000272463,-0.4,0.554980744
ENSG00000272465,1.4,0.059956595
ENSG00000272468,0.9,0.203014854
ENSG00000272476,-0.4,0.525976946
ENSG00000272479,-1.4,2.48E-05
ENSG00000272482,0.4,0.66878677
ENSG00000272491,1.8,2.20E-04
ENSG00000272498,-1.2,0.104780903
ENSG00000272501,-0.7,0.09317571
ENSG00000272505,-0.7,4.88E-04
ENSG00000272506,0.4,0.57507216
RNU6-88P,1,0.258544358
ENSG00000272509,-0.1,0.86584298
ENSG00000272510,-0.8,0.376535103
ENSG00000272512,1.8,2.17E-04
CFAP206,-0.1,0.958552288
ENSG00000272515,0.2,0.527209704
ENSG00000272518,1,0.104887672
ENSG00000272519,1.3,0.105129915
LINC01023,0.7,0.164855739
BTF3-DT,1,0.003960395
ENSG00000272529,-0.7,0.38183223
ENSG00000272537,0.3,0.802216916
ENSG00000272540,-0.1,0.905584851
ENSG00000272541,0.3,0.632856001
ENSG00000272542,-0.8,0.190501123
MIR4787,-0.3,0.736140763
LINC02538,0.3,0.702177697
ENSG00000272551,-1.2,0.015852231
GTF2IP13,1.3,2.31E-05
H3-3A-DT,1.7,0.018509238
ENSG00000272564,1.3,0.025828813
ENSG00000272567,-2,0.008388719
ENSG00000272568,0.8,0.077272892
ENSG00000272574,0.9,0.250603986
ENSG00000272576,-1.1,0.085644365
ENSG00000272578,0.4,0.30646111
ENSG00000272582,1.9,2.23E-04
ENSG00000272583,-1.3,0.023382213
ENSG00000272588,0.7,0.206598724
OR10AH1P,-1.1,0.033907733
ENSG00000272597,1,0.081427057
ENSG00000272599,0.2,0.796035208
ZNF595,-0.1,0.82689645
ENSG00000272604,-0.2,0.607399213
MAGI1-IT1,-0.3,0.733012573
FAM131B-AS1,-0.4,0.294515592
AFAP1-AS1,-1.6,0.002175905
ENSG00000272622,-0.5,0.469240972
ENSG00000272630,0.7,0.097371064
ENSG00000272631,0.1,0.722245209
ENSG00000272635,-1.5,0.051340521
DOC2B,-1,0.036645002
GTF2IP20,0.6,0.055835103
ENSG00000272646,0.1,0.873471836
ENSG00000272654,-0.3,0.525164163
POLR2J4,0.1,0.929414523
ENSG00000272656,1.1,0.164962698
ENSG00000272660,-0.5,0.582752387
TIMMDC1-DT,1,0.194452967
PPP1R21-DT,-0.2,0.773241568
ENSG00000272667,0.3,0.481383251
ENSG00000272668,0.6,0.160749555
ENSG00000272669,2.1,2.27E-06
ENSG00000272672,-0.4,0.633867894
PCDHB16,0.6,0.130182338
HNRNPD-DT,1,0.031162882
ENSG00000272682,-0.3,0.723560649
WASL-DT,0.6,0.045523102
ENSG00000272689,0.3,0.632671314
LINC02018,-0.2,0.702589412
ENSG00000272691,1.3,0.099874447
ENSG00000272692,0.3,0.650282593
ENSG00000272693,0.1,0.881832753
GAS6-DT,-0.6,0.186557219
ENSG00000272696,1.2,0.002631431
ENSG00000272699,-1,0.193385691
ENSG00000272702,-0.7,0.122706526
ENSG00000272703,0.4,0.644512439
ENSG00000272707,-0.6,0.447621086
ENSG00000272710,0.1,0.932073932
HK2-DT,1,0.037759098
ENSG00000272715,-0.3,0.684342471
SLC30A6-DT,0.4,0.634825989
ENSG00000272720,0.7,0.00412336
EIF2B5-DT,0.5,0.52465367
ENSG00000272732,0.8,0.116143435
ENSG00000272733,-0.2,0.684879347
ADIRF-AS1,0.8,0.07465037
ENSG00000272735,0.8,0.331823358
ENSG00000272745,0.2,0.866812125
ENSG00000272748,0.6,0.442154018
ENSG00000272750,0.3,0.513930167
STAG3L5P-PVRIG2P-PILRB,0.6,0.228354751
ENSG00000272754,-0.4,0.674145352
ENSG00000272755,2.8,7.53E-05
WDR5B-DT,1.2,0.002906343
ENSG00000272764,0.4,0.59590378
JMJD1C-AS1,-0.3,0.72277558
ENSG00000272768,-0.1,0.811978979
ENSG00000272774,0.5,0.552172971
ENSG00000272777,-0.8,0.015753251
ENSG00000272779,-0.2,0.449062407
ENSG00000272783,1.3,0.095369807
ENSG00000272787,0.2,0.797080971
ENSG00000272788,-1.6,0.038112071
ENSG00000272789,0.3,0.593697096
ENSG00000272791,0.7,0.283137905
ENSG00000272797,1,0.173247512
ENSG00000272798,0.2,0.836746051
ENSG00000272800,-0.1,0.915077351
ENSG00000272807,0.1,0.878196477
ENSG00000272808,1.4,5.94E-04
ENSG00000272812,1.4,0.012925564
ENSG00000272821,-0.2,0.613753598
ENSG00000272822,-0.5,0.619987527
ENSG00000272823,0.6,0.425152407
ENSG00000272824,-0.1,0.869713036
ENSG00000272825,0.4,0.632205127
ENSG00000272829,-0.7,0.209818666
ENSG00000272831,0.8,0.324039303
ENSG00000272832,-0.3,0.629088231
ENSG00000272834,1.2,0.032387015
ENSG00000272836,0.9,0.057447324
ENSG00000272839,-0.3,0.792599363
MAP3K4-AS1,0.2,0.480672409
ENSG00000272842,1.8,9.84E-04
ENSG00000272843,0.4,0.48448478
ENSG00000272844,-0.2,0.804406676
ENSG00000272848,-0.6,0.086707944
ENSG00000272849,1.1,0.002660457
SUV39H2-DT,0.7,0.06341373
ENSG00000272854,0.2,0.768636852
ENSG00000272858,1.9,0.008703939
ENSG00000272861,0.4,0.523505369
ENSG00000272862,1.5,0.039307481
ENSG00000272864,0.5,0.489553735
ENSG00000272865,0.5,0.516185475
SAP30-DT,0.9,0.022449142
ENSG00000272871,0.2,0.691249366
ENSG00000272872,-1.6,0.040679284
ENSG00000272880,-0.2,0.786562329
ENSG00000272885,-0.1,0.848943596
DCP1A,0.2,0.537585885
CHASERR,0.8,0.042410107
ENSG00000272892,0.7,0.335823099
MIOS-DT,1,0.016491869
ATP6V1FNB,-0.6,0.074135301
TBC1D8-AS1,-1,0.022380142
ENSG00000272905,0.4,0.489961679
ENSG00000272906,1.9,9.45E-04
ENSG00000272908,-1.4,0.082789398
ENSG00000272909,1.1,0.008210057
ENSG00000272910,0.1,0.865839199
ENSG00000272911,1.5,0.064656561
ENSG00000272912,1.3,0.08077249
ENSG00000272913,0.2,0.741496876
ENSG00000272914,-0.1,0.897325698
ENSG00000272915,-0.4,0.648652956
ENSG00000272918,0.2,0.608321255
ENSG00000272922,0.7,0.158498324
ENSG00000272927,1.1,0.006044743
LRRC8D-DT,-1,0.153447232
ENSG00000272940,-0.5,0.483463892
ENSG00000272941,-0.2,0.867160267
ENSG00000272942,0.4,0.566325119
ENSG00000272944,-1.9,1.09E-05
ENSG00000272945,0.4,0.672778306
ENSG00000272948,1,0.185939235
ENSG00000272950,0.5,0.483323261
ENSG00000272953,1.3,0.002411172
ENSG00000272954,1.3,0.121275184
ENSG00000272969,-0.1,0.923930244
ENSG00000272970,-0.5,0.226460921
ENSG00000272971,-0.7,0.089801011
ENSG00000272973,-0.2,0.711034523
ENSG00000272977,-0.2,0.555378748
ENSG00000272983,0.1,0.904212407
ENSG00000272984,-0.8,0.323200345
ENSG00000272986,-0.3,0.699638725
ENSG00000272988,-0.4,0.652652459
LINC02012,-0.4,0.431319724
ENSG00000272990,0.7,0.219070243
C2orf49-DT,0.6,0.09276974
ARHGEF2-AS2,1.6,1.47E-04
ENSG00000273007,-0.2,0.684585156
CSGALNACT2-DT,0.2,0.7447098
ENSG00000273010,-0.3,0.713239028
ENSG00000273013,1.8,0.003887553
ENSG00000273014,0.3,0.593727212
ENSG00000273015,0.9,0.003109636
ENSG00000273017,1.4,0.027259866
FAM106A,-0.3,0.648122559
INTS4P2,-0.1,0.876501028
ENSG00000273026,0.4,0.455851458
ENSG00000273027,-0.2,0.748306805
DGCR5,-1.4,1.20E-05
LINC02035,-0.4,0.003224714
ENSG00000273035,0.5,0.59034996
ENSG00000273038,0.2,0.712176134
ENSG00000273044,-0.9,0.270971484
C2orf15,-0.3,0.427724834
ENSG00000273055,-0.8,0.176978275
ENSG00000273056,0.1,0.88794784
ENSG00000273058,0.3,0.647414206
CDC37L1-DT,0.9,0.022391557
ENSG00000273064,1.3,0.00522995
ENSG00000273066,-0.7,0.038003374
ENSG00000273069,0.6,0.490572919
ENSG00000273076,1.7,0.015456613
GRIN2B,-1.2,0.006831044
ENSG00000273080,0.7,0.270257796
ENSG00000273084,-1.5,6.68E-08
ENSG00000273091,1.5,0.012302186
ENSG00000273096,1.4,0.00387988
ENSG00000273100,2.6,1.00E-08
PPM1B-DT,1.3,0.118545078
ENSG00000273107,0.5,0.321845199
ENSG00000273108,-0.8,5.35E-05
ENSG00000273113,0.4,0.452234962
INSIG1-DT,0.1,0.744610751
ENSG00000273123,0.8,0.208606222
ENSG00000273124,1.3,0.082515725
PACERR,0.2,0.7990849
ENSG00000273133,0.3,0.770153078
NBPF26,-0.1,0.902868585
ENSG00000273137,0.4,0.447117069
ENSG00000273139,0.5,0.511762506
LINC02604,1.1,3.49E-05
ENSG00000273145,-0.5,0.303646656
LINC00653,0.8,0.024888401
ENSG00000273151,0.9,7.41E-04
ENSG00000273154,1.4,0.009461099
ENSG00000273156,-0.5,0.357636138
ENSG00000273160,-0.1,0.943081414
ENSG00000273164,-0.9,0.006846723
ENSG00000273165,0.8,0.340245335
SNURF,-1.2,0.047727439
ENSG00000273174,-0.2,0.809125477
ENSG00000273175,-0.5,0.534956331
ENSG00000273176,1.1,0.170620876
ENSG00000273177,1.2,0.116754782
ENSG00000273179,-0.7,0.362686852
ENSG00000273181,-0.4,0.605040237
ENSG00000273183,1.9,6.49E-04
ENSG00000273186,0.2,0.777161935
ENSG00000273188,-0.4,0.160211626
ENSG00000273189,0.4,0.659160726
ENSG00000273199,-0.2,0.813698355
ENSG00000273203,0.2,0.594426196
ENSG00000273209,0.7,0.33179792
ENSG00000273214,1.9,0.002040574
ENSG00000273216,-0.1,0.893252103
ENSG00000273218,0.5,0.387618126
ENSG00000273226,1.2,0.003788463
ENSG00000273230,0.1,0.90557629
ENSG00000273233,0.3,0.612862155
TMEM271,-0.7,0.188049812
ENSG00000273240,-0.1,0.933964604
ENSG00000273243,-0.1,0.921403562
ENSG00000273245,-0.6,0.409286749
RAB33B-AS1,0.1,0.799759186
WDR5-DT,0.6,0.462504938
ENSG00000273253,-1,0.023195523
ENSG00000273254,0.5,0.57668306
ENSG00000273257,0.1,0.893943799
ENSG00000273261,-1,0.117641344
ENSG00000273264,0.6,0.44837519
CNNM3-DT,0.5,0.395985846
ENSG00000273267,0.8,0.060970407
ENSG00000273270,0.6,0.006320157
ENSG00000273271,0.8,0.128140498
ZBTB8B,1.5,1.03E-07
ENSG00000273284,1,0.131707735
ENSG00000273287,0.3,0.619073733
ENSG00000273289,-0.2,0.87742153
ENSG00000273291,0.2,0.785208903
ENSG00000273293,-0.3,0.739020917
ENSG00000273295,-1.3,1.93E-06
ENSG00000273297,-0.2,0.720393784
ENSG00000273301,-1.1,0.001080424
ENSG00000273302,1,0.097812079
ENSG00000273306,-0.2,0.807304691
ENSG00000273308,0.3,0.526736938
DGCR11,-0.7,0.162332416
ENSG00000273312,-1,0.004902259
ENSG00000273314,0.3,0.439215125
ENSG00000273319,0.7,0.184315386
ENSG00000273321,1,0.048687632
ENSG00000273325,-0.3,0.685020697
ENSG00000273328,0.7,0.342154825
ENSG00000273329,1.2,4.04E-06
ENSG00000273335,-0.3,0.75519961
ENSG00000273338,-0.4,0.676456099
MICE,1.6,0.045259726
PAXIP1-DT,0.4,0.065873858
ENSG00000273345,0.4,0.614675254
ENSG00000273350,0.7,0.121670223
ENSG00000273355,1.1,0.093136975
LINC02019,1.5,0.001907023
ENSG00000273363,0.6,0.514896266
ENSG00000273367,-0.7,0.11668625
ENSG00000273369,-0.6,0.306457648
SFTPD-AS1,0.4,0.570123423
ENSG00000273373,0.5,0.102271525
ENSG00000273374,0.5,0.375896935
ENSG00000273375,-0.2,0.76439768
TMEM167B-DT,1.1,0.002350544
ENSG00000273387,1.3,0.005231914
ENSG00000273394,-1.1,0.084242852
ENSG00000273399,0.6,0.274106627
ENSG00000273402,1.1,0.104541761
ENSG00000273403,0.2,0.747831988
ENSG00000273407,1.3,0.06935579
LINC02712,0.6,0.445212107
ENSG00000273416,-1.5,2.51E-04
ENSG00000273419,0.4,0.480264116
ENSG00000273424,1,0.017862839
ENSG00000273432,-0.6,0.181450631
ENSG00000273437,-0.1,0.792722599
ENSG00000273442,0.3,0.624308571
ENSG00000273443,0.1,0.8739782
ENSG00000273447,0.8,0.268091928
ENSG00000273448,1,0.141131643
ENSG00000273449,0.2,0.76292744
ENSG00000273451,-1,0.228724359
ENSG00000273454,0.5,0.431221254
ENSG00000273455,-0.5,0.576311226
ENSG00000273456,0.2,0.445212107
ENSG00000273464,1.4,0.0909421
ENSG00000273472,0.4,0.471122074
ENSG00000273473,0.3,0.643835721
ENSG00000273474,-0.5,0.604473889
ENSG00000273476,0.2,0.84981963
ENSG00000273481,-0.2,0.825048447
ENSG00000273483,0.4,0.408419757
ENSG00000273486,0.9,0.123251116
ENSG00000273487,-0.1,0.708901027
ENSG00000273489,0.4,0.623731806
APP-DT,-0.2,0.627415728
ENSG00000273493,-0.1,0.882981707
ENSG00000273507,0.4,0.583522634
ENSG00000273521,0.3,0.712815675
ENSG00000273523,0.9,0.236826963
AGBL1,-1,0.004417255
ENSG00000273551,-0.1,0.963110584
ENSG00000273557,1.6,0.02972831
CWC25,0.1,0.377801198
ENSG00000273568,-0.1,0.856611933
ENSG00000273576,0.4,0.224025124
ENSG00000273582,0.3,0.748416577
ENSG00000273597,-0.1,0.955778891
ENSG00000273599,0.8,0.159070862
EPOP,-1,0.010305383
ZNHIT3,-0.5,0.041677807
ENSG00000273618,0.7,0.086652052
ENSG00000273619,0.1,0.918011021
ENSG00000273650,0.9,0.117399399
ENSG00000273654,1.3,0.019952356
ENSG00000273669,-1.4,0.078017754
ENSG00000273674,0.2,0.685080868
ENSG00000273679,0.1,0.890390473
ENSG00000273680,0.8,0.067742326
ENSG00000273691,1.1,0.183375667
ENSG00000273702,0.7,0.018961882
LHX1,-0.4,0.631711881
ENSG00000273711,1.4,0.007113258
ENSG00000273712,0.4,0.576092328
SUGT1-DT,1,0.01271907
ENSG00000273729,0.1,0.776313956
ENSG00000273733,-0.1,0.800199383
ENSG00000273747,0.5,0.590231388
ENSG00000273748,-1.1,0.018302484
CYFIP1,0.6,0.128412544
ENSG00000273759,1,0.037502427
ENSG00000273763,-0.4,0.299156952
ENSG00000273765,0.5,0.31427446
ENSG00000273771,-1.1,0.09337905
ENSG00000273783,0.3,0.726501939
ENSG00000273796,1.1,0.052781295
H2BC8,1.3,0.013484224
ENPP7P7,-0.5,0.613481131
USP27X,-0.6,0.015063693
ENSG00000273821,-0.7,0.399095026
ENSG00000273837,1.6,0.049036851
TAF9,-0.8,0.001318303
ENSG00000273851,0.3,0.755283339
ENSG00000273853,-0.8,0.304880645
FRMD6-AS1,-1,0.04202161
ENSG00000273890,0.9,0.183869194
ENSG00000273891,1.3,0.004828648
ENSG00000273893,0.3,0.472227808
NOL12,0.1,0.784444386
ENSG00000273901,-0.1,0.935662161
ENSG00000273906,-0.2,0.871040733
ENSG00000273923,-0.5,0.500063208
ENSG00000273951,1.4,0.074822605
ENSG00000273956,0.3,0.729485992
ENSG00000273958,0.9,0.295368718
ENPP7P14,1.1,0.183144417
ENSG00000273971,0.3,0.703135019
ENSG00000273973,0.8,0.249791131
ENSG00000273987,0.1,0.836083327
ENSG00000273998,-0.1,0.883317773
ENSG00000274002,-0.8,0.242534395
ZFP91P1,-1,0.249538989
RN7SL2,-0.7,0.245875122
ENSG00000274015,0.8,0.279057095
LINC01138,0.9,0.002582917
ENSG00000274021,-0.7,0.294856978
FAM27E3,0.4,0.480572999
ENSG00000274029,1,9.59E-04
ENSG00000274031,1,0.067304551
ENSG00000274080,-0.1,0.91300312
ENSG00000274093,0.3,0.714959026
ENSG00000274105,0.2,0.74171753
ALOX15P1,-1.6,2.56E-06
Y_RNA,2.2,0.001064143
ENSG00000274124,-0.4,0.641390416
Metazoa_SRP,1.3,0.088113435
ENSG00000274139,0.4,0.561124785
ENSG00000274156,2.1,0.003634491
RN7SL585P,1.4,0.049961722
NATD1,0.5,0.044487853
ENSG00000274184,2.1,4.86E-07
ENSG00000274191,-0.3,0.616170522
ENSG00000274198,1.5,0.063183569
ANTXRL,0.5,0.546698441
SOCS7,-0.3,0.17500343
ENSG00000274220,0.6,0.073616707
ENSG00000274225,0.6,0.429691446
ENSG00000274227,-1.2,0.117758544
ENSG00000274251,0.6,0.457916515
ENSG00000274253,-1,0.002698852
SYNGAP1-AS1,0.5,0.546954531
ENSG00000274265,1.1,0.002151571
ENSG00000274270,-0.1,0.890961593
ENSG00000274272,1.2,1.22E-04
CBSL,0.4,0.618081962
ADRA2B,1.6,6.54E-06
H2BC6,0.8,0.145186973
ENSG00000274292,0.3,0.768136889
ENSG00000274294,0.5,0.566874991
ENSG00000274297,1.4,0.075834336
ENSG00000274307,0.2,0.697587396
ENSG00000274312,-1.7,0.006271506
ENSG00000274315,0.2,0.747080828
LINC02334,-0.7,0.434857758
ENSG00000274322,-0.9,0.201112758
ENSG00000274326,0.7,0.397289006
ENSG00000274330,-1.4,0.01570621
ENSG00000274331,-1.2,0.097121844
ENSG00000274340,0.6,0.444625471
ENSG00000274341,1,0.079924483
ZNF658,-0.8,0.056969476
ENSG00000274353,0.3,0.742610065
ENSG00000274356,-0.1,0.95407528
ENSG00000274363,1.3,0.002054744
ENSG00000274367,-0.5,0.506793171
ENSG00000274370,0.2,0.784656739
ADAMTS7P1,-0.9,0.021363248
ENSG00000274383,1.3,0.059573588
TMEM269,0.9,0.101683586
ENSG00000274395,-0.6,0.319108822
ENSG00000274397,-0.9,0.275073089
ENSG00000274400,-1,0.005876866
ENSG00000274403,1.5,0.004024852
